no2;ozone;temperature;humidity;estimates
0.01;30;9.97;27.44;0
0.04;60;4.68;77.35;1
0.01;31;37.28;11.18;0
0.05;59;28.87;88.15;1
0.03;87;36.85;39.71;2
0.04;94;15.05;53.17;2
0.03;89;29.91;55.44;2
0.03;58;15.11;91.28;1
0.01;26;29.78;46.37;0
0.02;6;5.79;22.78;1
0.01;31;20.55;79.25;0
0.0;38;1.07;93.75;0
0.03;59;24.86;85.84;1
0.0;28;12.91;55.18;0
0.01;23;-8.59;65.26;1
0.0;82;37.91;18.11;2
0.04;53;3.96;33.54;1
0.01;98;5.32;42.51;2
0.05;98;-7.0;19.96;2
0.01;48;6.89;30.78;0
0.02;57;-9.34;52.65;1
0.01;90;27.31;38.21;2
0.01;27;25.31;25.45;0
0.06;43;19.32;63.42;0
0.01;26;34.88;94.14;0
0.01;32;31.87;96.11;0
0.01;7;-8.78;44.95;1
0.01;22;6.99;18.23;0
0.01;8;20.05;20.86;0
0.25;110;31.49;84.02;2
0.01;48;-2.96;45.88;0
0.0;19;10.84;64.33;0
0.0;15;37.0;72.43;0
0.0;32;39.48;50.21;0
0.01;29;24.43;30.52;0
0.01;47;-4.85;40.4;0
0.03;34;-6.44;49.72;1
0.03;97;28.49;54.86;2
0.0;15;14.02;41.66;0
0.0;26;-5.56;18.14;0
0.01;77;-8.59;44.19;1
0.05;73;20.04;25.07;1
0.03;37;17.43;48.86;1
0.01;50;28.87;19.07;0
0.03;10;10.55;26.46;1
0.01;25;9.37;59.19;0
0.05;58;5.96;84.47;1
0.0;63;13.49;52.55;1
0.05;99;-3.68;43.75;2
0.01;41;36.69;65.19;0
0.03;31;34.58;61.8;1
0.04;11;33.91;63.69;1
0.01;11;0.71;94.29;0
0.01;21;39.68;98.98;0
0.05;34;33.09;40.57;1
0.08;25;23.52;61.75;0
0.01;68;28.88;17.57;1
0.01;41;8.73;40.05;0
0.01;42;6.12;94.9;0
0.04;45;18.99;23.27;1
0.02;93;11.45;57.5;2
0.01;36;20.69;72.99;0
0.01;33;-1.39;27.47;0
0.05;54;7.18;80.38;1
0.08;37;19.98;64.33;0
0.03;17;12.47;24.01;1
0.03;43;2.0;82.54;1
0.03;15;0.26;81.13;1
0.02;92;21.82;27.25;2
0.04;84;20.73;76.51;2
0.03;62;-1.51;20.2;1
0.02;63;15.0;44.91;1
0.02;93;30.45;26.01;2
0.01;25;11.94;82.28;0
0.05;89;20.07;84.1;2
0.01;25;-4.52;82.35;0
0.05;97;18.14;10.58;2
0.03;89;-1.88;72.41;2
0.03;88;2.21;85.59;2
0.01;72;20.45;55.44;1
0.0;31;19.14;70.37;0
0.03;85;34.56;45.86;2
0.0;21;23.29;42.97;0
0.04;82;12.17;24.38;2
0.0;93;24.88;31.7;2
0.01;20;3.09;88.85;0
0.0;42;2.92;52.1;0
0.3;104;34.37;83.8;2
0.01;17;-8.08;90.13;0
0.01;32;14.12;78.1;0
0.02;93;30.15;86.84;2
0.02;94;22.96;27.26;2
0.01;33;18.91;77.83;0
0.03;67;27.92;33.3;1
0.01;38;9.66;26.03;0
0.03;80;6.53;83.12;1
0.05;93;22.29;63.67;2
0.02;13;2.11;94.88;1
0.04;38;5.07;91.67;1
0.0;47;11.25;39.04;0
0.03;95;12.4;93.94;2
0.01;81;9.62;11.73;1
0.03;92;16.89;23.51;2
0.02;101;8.74;93.76;2
0.01;35;11.68;73.63;0
0.04;87;24.12;83.74;2
0.0;24;22.26;32.92;0
0.04;38;23.25;65.87;0
0.01;42;-6.05;83.66;0
0.02;88;21.79;34.47;2
0.01;40;17.05;62.38;0
0.04;38;20.71;60.89;0
0.03;20;26.44;24.03;1
0.05;100;13.76;83.12;2
0.08;41;23.33;61.29;0
0.05;85;38.7;72.87;2
0.01;45;38.56;14.51;0
0.04;61;-3.98;28.94;1
0.02;72;30.71;43.87;1
0.02;96;18.93;83.22;2
0.01;99;0.62;17.99;2
0.05;91;5.47;78.29;2
0.04;44;-4.07;78.21;1
0.19;108;31.4;80.76;2
0.01;50;36.35;14.98;0
0.05;98;5.45;43.7;2
0.01;9;5.56;79.53;0
0.01;31;14.53;92.52;0
0.0;97;22.48;24.48;2
0.01;22;6.83;87.01;0
0.03;13;-0.06;61.57;1
0.01;30;3.52;94.23;0
0.01;51;24.6;74.61;0
0.0;38;36.22;44.77;0
0.0;19;24.81;99.96;0
0.05;90;4.87;67.38;2
0.02;33;21.7;38.48;1
0.02;94;27.92;92.99;2
0.05;67;36.32;39.29;1
0.02;83;22.88;96.68;2
0.04;57;17.82;24.67;1
0.0;46;5.51;28.97;0
0.01;36;-6.58;60.84;0
0.04;37;27.78;62.8;1
0.01;84;8.84;12.12;2
0.03;52;26.15;72.11;1
0.03;77;-1.4;26.85;1
0.03;34;-2.03;45.42;1
0.05;58;-4.61;56.87;1
0.04;55;4.76;23.72;1
0.01;63;20.13;71.82;1
0.01;27;12.99;43.42;0
0.07;13;21.33;61.73;0
0.04;99;27.23;76.28;2
0.01;46;13.47;38.16;0
0.05;54;18.09;20.66;1
0.0;25;36.93;77.89;0
0.05;80;-3.62;43.76;1
0.04;25;2.05;52.92;1
0.01;8;21.45;18.98;0
0.04;93;24.4;80.17;2
0.0;10;-6.81;30.09;0
0.04;95;4.28;15.85;2
0.05;88;-0.73;11.55;2
0.03;26;20.79;21.0;1
0.03;30;22.77;59.95;1
0.04;84;7.21;77.43;2
0.04;57;-4.42;32.34;1
0.03;26;23.51;62.74;1
0.05;91;34.44;12.94;2
0.03;94;10.25;21.63;2
0.04;84;0.6;92.47;2
0.01;48;29.56;45.51;0
0.05;97;17.65;82.45;2
0.01;20;23.15;99.97;0
0.05;99;14.91;53.19;2
0.0;82;32.18;58.23;2
0.03;62;14.85;26.04;1
0.0;28;38.07;11.35;0
0.04;45;31.86;49.49;1
0.01;36;39.44;43.1;0
0.0;16;30.29;71.83;0
0.04;63;31.2;31.32;1
0.01;32;23.64;33.09;0
0.05;11;3.71;29.6;1
0.01;48;34.38;55.44;0
0.22;108;34.04;84.91;2
0.01;82;39.48;14.56;2
0.01;9;31.9;20.86;0
0.0;51;15.11;18.39;0
0.04;29;33.71;67.48;1
0.05;59;1.85;23.59;1
0.03;85;-3.27;49.39;2
0.01;28;-0.6;69.86;0
0.02;42;10.11;29.83;1
0.01;99;34.74;73.27;2
0.05;27;22.2;62.55;0
0.01;30;0.87;34.21;0
0.01;40;5.12;36.81;0
0.04;98;21.67;67.25;2
0.0;74;26.49;49.06;1
0.02;64;12.86;95.52;1
0.01;65;24.29;13.53;1
0.05;37;1.13;70.29;1
0.03;8;37.82;49.39;1
0.01;31;20.71;93.6;0
0.05;45;-4.17;29.45;1
0.02;75;-0.92;56.85;1
0.01;89;13.22;28.94;2
0.01;6;-5.11;47.47;0
0.03;88;17.67;90.82;2
0.01;11;22.05;99.86;0
0.01;27;-5.41;77.34;0
0.04;100;5.24;84.16;2
0.01;16;-7.5;39.74;0
0.0;93;25.11;96.09;2
0.01;88;19.01;82.29;2
0.01;16;31.18;27.39;0
0.01;29;8.99;65.44;0
0.02;89;16.78;61.17;2
0.01;15;36.37;20.59;1
0.0;21;-5.88;55.24;0
0.01;43;21.91;88.0;0
0.03;34;22.56;39.09;1
0.03;69;9.27;35.64;1
0.0;37;34.15;91.58;0
0.01;27;9.68;92.06;0
0.05;12;34.56;35.11;1
0.03;48;28.4;26.5;1
0.01;32;37.17;60.02;0
0.01;30;22.46;21.43;0
0.01;94;29.23;25.24;2
0.02;91;-6.43;31.64;2
0.01;92;-9.97;88.52;2
0.02;58;25.8;57.38;1
0.01;94;0.45;58.81;2
0.02;16;1.56;93.81;1
0.04;56;22.53;71.76;1
0.01;26;30.82;41.77;0
0.01;93;-0.98;99.0;2
0.01;31;29.03;60.68;0
0.05;85;-5.7;45.0;2
0.03;15;12.5;60.06;1
0.01;89;19.13;80.49;2
0.01;51;24.53;82.04;0
0.01;25;7.79;50.49;0
0.02;85;38.12;81.5;2
0.02;94;23.59;73.17;2
0.01;39;-1.81;53.64;0
0.03;98;27.36;31.23;2
0.01;96;31.99;47.2;2
0.02;100;33.43;69.79;2
0.03;99;-3.13;12.35;2
0.05;72;-5.34;79.48;1
0.04;97;31.69;59.66;2
0.01;47;8.25;92.09;0
0.02;97;31.41;80.61;2
0.02;77;11.19;45.58;1
0.02;91;-9.93;95.1;2
0.05;86;25.95;46.39;2
0.02;82;21.02;30.29;2
0.01;11;17.49;73.06;0
0.03;7;15.78;80.48;1
0.01;35;6.39;32.76;0
0.02;98;12.18;28.13;2
0.03;18;11.81;20.72;1
0.04;90;24.87;42.44;2
0.02;100;26.85;71.19;2
0.01;97;25.22;61.65;2
0.04;16;12.51;46.12;1
0.01;14;36.24;50.29;0
0.05;15;29.69;28.29;1
0.02;47;-5.35;97.32;1
0.01;32;24.44;27.12;0
0.01;38;-9.06;80.91;0
0.05;96;22.67;94.9;2
0.04;50;16.83;16.52;1
0.03;99;14.43;59.26;2
0.01;12;38.2;36.16;0
0.02;84;-6.49;72.19;2
0.01;34;34.8;91.62;0
0.01;31;7.41;51.06;0
0.0;50;24.81;34.65;0
0.02;98;27.1;58.12;2
0.01;49;15.39;19.3;0
0.01;22;21.53;50.67;0
0.01;14;25.05;18.84;0
0.01;42;32.3;11.59;0
0.04;101;-3.29;57.76;2
0.02;92;-8.55;88.44;2
0.01;36;32.35;13.67;0
0.01;44;21.81;32.1;0
0.13;69;28.67;75.45;1
0.0;15;23.79;39.48;0
0.01;13;22.76;62.8;0
0.0;37;-2.45;27.27;0
0.01;89;-1.61;66.94;2
0.01;32;0.72;11.7;0
0.06;10;20.41;65.28;0
0.02;99;-7.45;63.17;2
0.01;102;11.83;74.84;2
0.04;86;-1.35;72.86;2
0.01;8;-7.93;39.26;0
0.01;29;7.77;89.54;0
0.0;45;39.2;27.79;0
0.01;51;28.1;26.15;0
0.05;98;26.39;15.03;2
0.04;95;-7.04;22.16;2
0.01;12;0.81;82.06;0
0.01;38;26.16;67.29;0
0.03;83;10.97;73.61;2
0.04;48;21.98;19.57;1
0.01;9;39.75;69.63;0
0.04;80;-4.71;57.95;1
0.04;57;21.82;48.1;1
0.02;97;25.91;68.78;2
0.01;11;29.97;68.17;0
0.01;23;14.0;41.94;0
0.03;20;12.97;86.29;1
0.01;27;23.41;38.16;0
0.01;29;25.53;43.49;0
0.05;28;-5.6;36.38;1
0.06;23;21.55;67.37;0
0.03;28;-6.88;67.61;1
0.03;95;14.26;18.22;2
0.01;17;26.55;77.78;0
0.05;99;38.87;52.68;2
0.01;34;35.68;65.26;0
0.01;17;11.92;86.57;0
0.01;26;-9.19;45.84;0
0.07;33;23.71;60.94;0
0.01;17;-5.63;45.95;0
0.01;96;9.09;69.62;2
0.0;30;26.86;65.7;0
0.01;25;39.73;67.6;0
0.01;98;26.79;91.91;2
0.04;47;17.89;58.39;1
0.01;48;-3.46;45.61;0
0.01;49;35.84;28.22;0
0.01;66;3.17;74.11;1
0.05;32;-0.13;19.51;1
0.02;102;-6.38;65.44;2
0.04;50;22.33;21.27;1
0.01;46;22.26;55.49;0
0.01;22;31.54;30.97;0
0.01;31;37.55;51.78;0
0.04;97;25.9;82.96;2
0.02;87;-2.04;72.52;2
0.04;53;-5.69;65.43;1
0.04;87;22.5;75.67;2
0.01;93;24.4;50.41;2
0.18;105;34.9;81.11;2
0.0;39;1.0;65.9;0
0.2;113;32.92;82.3;2
0.01;25;39.99;55.17;0
0.02;92;-3.94;94.56;2
0.05;30;-0.74;53.7;1
0.01;81;9.61;84.9;1
0.01;43;34.77;99.92;0
0.01;40;31.65;42.44;0
0.03;62;3.44;40.15;1
0.03;98;0.61;44.53;2
0.02;15;5.32;37.51;1
0.01;22;27.06;53.27;0
0.02;25;34.41;38.87;1
0.0;19;35.15;83.55;0
0.04;87;26.62;93.26;2
0.02;81;19.94;41.56;1
0.03;24;-9.6;46.64;1
0.01;25;1.93;35.25;0
0.04;97;31.05;15.13;2
0.03;6;10.44;45.53;1
0.01;101;30.76;19.24;2
0.01;7;21.59;40.89;0
0.03;98;36.0;66.15;2
0.29;116;32.01;84.88;2
0.05;18;35.48;27.1;1
0.01;49;37.88;62.41;0
0.04;25;13.38;83.77;1
0.01;37;-7.16;89.14;0
0.03;9;14.19;62.48;1
0.05;44;11.54;42.47;1
0.02;58;6.61;31.01;1
0.05;70;23.47;83.76;1
0.01;36;34.35;89.12;0
0.01;46;-0.17;41.91;0
0.01;46;37.86;54.45;0
0.0;37;-8.68;72.19;0
0.04;6;17.74;65.94;1
0.05;40;18.31;38.3;1
0.04;50;18.88;11.19;1
0.01;13;-9.54;66.85;0
0.02;85;15.85;98.26;2
0.04;61;9.11;81.97;1
0.0;32;-9.06;95.25;0
0.01;36;33.75;16.68;0
0.03;18;11.34;52.69;1
0.01;48;31.73;70.52;0
0.04;19;31.5;49.9;1
0.0;22;-5.08;82.41;0
0.03;13;-7.25;40.23;1
0.01;40;35.1;35.36;0
0.01;51;4.84;49.71;1
0.03;77;-1.26;19.98;1
0.03;59;26.02;71.13;1
0.01;45;29.68;64.02;0
0.04;102;-8.72;41.2;2
0.05;30;1.77;70.43;1
0.01;69;32.47;29.08;1
0.02;96;37.44;34.47;2
0.04;12;6.88;46.77;1
0.02;62;11.39;86.67;1
0.03;39;-3.64;48.96;1
0.01;14;3.28;46.81;0
0.01;43;37.12;15.92;0
0.04;96;10.17;29.94;2
0.04;36;10.27;53.49;1
0.0;15;-0.62;78.42;0
0.02;93;22.97;45.95;2
0.02;18;16.07;50.22;1
0.01;36;29.98;28.57;0
0.02;39;12.18;26.78;1
0.01;32;18.8;56.5;1
0.01;53;25.82;76.1;1
0.02;99;-4.8;96.84;2
0.2;116;34.23;80.63;2
0.04;95;26.67;18.21;2
0.02;95;7.04;70.83;2
0.01;51;37.9;86.03;0
0.07;35;21.92;61.28;0
0.04;84;-0.09;55.61;2
0.02;8;14.02;67.06;1
0.01;89;9.34;83.53;2
0.04;26;23.13;60.43;1
0.04;96;-8.49;72.53;2
0.04;86;4.98;58.29;2
0.04;92;23.62;92.79;2
0.02;83;25.21;25.23;2
0.03;97;22.75;32.49;2
0.04;88;37.37;21.72;2
0.02;10;-4.92;24.51;1
0.02;53;-9.22;83.88;1
0.01;20;5.69;59.67;0
0.02;87;33.32;47.59;2
0.04;85;27.39;79.07;2
0.02;90;23.68;78.64;2
0.01;80;16.97;16.32;1
0.04;50;38.04;44.91;1
0.04;93;18.76;75.48;2
0.02;98;3.99;31.54;2
0.03;96;12.12;67.09;2
0.05;99;11.54;85.01;2
0.05;94;19.79;95.75;2
0.01;85;36.9;40.06;2
0.05;61;16.31;33.83;1
0.04;26;27.79;85.04;1
0.02;29;36.08;84.3;1
0.04;19;-2.42;61.29;1
0.03;62;17.22;22.79;1
0.01;12;14.8;34.71;0
0.04;101;17.21;88.68;2
0.03;88;-8.51;23.03;2
0.01;29;7.24;28.54;0
0.04;101;-4.56;54.1;2
0.03;85;19.36;72.76;2
0.03;97;37.72;65.39;2
0.03;95;14.06;28.65;2
0.01;17;2.61;13.42;0
0.05;91;4.59;45.54;2
0.01;94;25.61;75.41;2
0.01;41;11.58;93.72;0
0.01;69;11.3;32.21;1
0.01;88;23.65;72.9;2
0.04;91;-6.82;52.29;2
0.01;40;-2.47;10.15;0
0.02;87;8.3;22.96;2
0.02;69;27.06;38.4;1
0.03;28;34.56;39.95;1
0.0;16;-8.71;98.33;0
0.05;34;29.34;49.19;1
0.04;96;20.63;85.96;2
0.03;50;26.58;36.6;1
0.01;30;-1.14;98.31;0
0.01;99;30.93;97.59;2
0.01;49;-3.34;76.07;0
0.02;53;26.24;94.39;1
0.01;30;-1.59;30.5;0
0.0;5;26.9;58.31;0
0.08;22;21.4;60.96;0
0.04;55;32.78;37.04;1
0.02;8;36.9;55.79;1
0.04;95;15.76;86.9;2
0.03;94;-3.62;68.31;2
0.01;13;6.39;25.41;0
0.02;32;-1.91;91.46;1
0.0;39;-2.35;15.21;0
0.01;50;23.8;44.29;0
0.05;10;32.6;70.61;1
0.01;98;16.18;35.86;2
0.05;37;39.22;67.24;1
0.01;12;6.37;84.51;0
0.05;86;25.32;13.59;2
0.01;48;37.89;83.26;1
0.01;98;18.23;58.75;2
0.01;47;20.92;26.16;0
0.04;101;12.29;64.91;2
0.04;84;18.05;51.31;2
0.04;22;17.24;89.98;1
0.01;16;29.87;99.85;0
0.01;98;18.88;91.08;2
0.05;93;22.42;80.13;2
0.03;29;-7.39;89.51;1
0.01;9;10.54;60.62;0
0.0;13;6.82;50.32;0
0.01;27;2.61;68.88;0
0.0;26;8.18;86.19;0
0.01;19;4.07;36.02;0
0.01;37;20.41;41.97;0
0.02;102;-7.2;39.82;2
0.01;83;34.11;32.63;2
0.01;98;-4.42;79.16;2
0.03;63;39.74;91.9;1
0.01;35;30.47;77.9;0
0.01;88;35.17;13.72;2
0.01;49;5.63;49.86;0
0.03;97;28.3;96.27;2
0.05;73;15.76;43.57;1
0.01;28;32.6;57.26;0
0.01;36;3.27;72.66;0
0.05;100;17.59;27.14;2
0.02;49;38.0;95.4;1
0.01;5;31.5;70.68;0
0.05;91;8.75;30.6;2
0.0;47;26.03;69.59;0
0.01;32;12.96;25.58;0
0.01;85;13.84;97.14;2
0.01;89;2.86;35.51;2
0.03;96;30.16;40.06;2
0.0;49;7.4;96.73;0
0.05;74;20.26;37.46;1
0.0;33;39.82;35.93;0
0.0;34;0.6;34.47;0
0.01;82;29.55;24.47;2
0.04;99;32.4;61.13;2
0.01;21;29.2;94.35;0
0.03;86;25.53;29.66;2
0.01;6;3.91;99.44;0
0.05;36;5.19;10.57;1
0.08;24;20.75;60.89;0
0.03;86;-9.39;88.5;2
0.07;14;23.24;63.93;0
0.02;54;28.7;39.46;1
0.01;92;18.12;96.77;2
0.04;12;35.77;39.73;1
0.03;51;30.4;11.0;1
0.01;43;32.19;49.87;0
0.01;65;33.83;99.69;1
0.01;20;26.94;14.97;0
0.07;21;20.31;60.84;0
0.01;20;22.13;18.63;0
0.05;53;32.12;89.92;1
0.05;30;21.75;21.27;1
0.05;82;21.3;76.57;2
0.01;21;28.64;18.26;0
0.0;31;-2.75;14.52;0
0.02;64;30.54;71.13;1
0.0;15;10.19;48.2;0
0.01;30;0.38;30.88;0
0.04;95;-2.33;59.32;2
0.03;93;-7.84;37.27;2
0.0;41;9.6;66.66;0
0.05;100;2.15;11.66;2
0.03;86;-5.7;73.93;2
0.01;13;27.85;37.33;0
0.02;10;29.28;95.28;1
0.04;91;-6.79;76.42;2
0.01;102;23.92;86.47;2
0.03;86;-4.35;83.58;2
0.0;43;-3.86;41.92;0
0.03;83;-8.29;11.89;2
0.02;67;4.35;74.05;1
0.01;14;2.31;51.49;0
0.02;67;39.08;27.47;1
0.0;13;-8.11;77.46;0
0.01;40;36.89;93.42;0
0.01;70;6.25;49.62;1
0.02;76;12.27;84.25;1
0.02;59;9.92;36.27;1
0.02;83;36.26;18.34;2
0.01;20;9.25;94.06;0
0.0;55;-0.94;47.81;1
0.01;84;17.22;24.8;2
0.0;44;2.93;27.61;0
0.01;23;26.54;89.43;0
0.05;36;2.63;76.01;1
0.04;88;32.78;34.24;2
0.0;24;-2.56;67.15;0
0.01;81;34.63;83.26;1
0.0;25;36.4;91.62;0
0.04;14;17.34;24.84;1
0.02;33;21.11;60.31;1
0.04;9;-7.46;74.91;1
0.02;96;-1.97;98.11;2
0.04;42;28.91;22.77;1
0.01;14;23.05;35.92;0
0.04;94;-2.53;57.48;2
0.05;95;32.35;49.35;2
0.05;33;-3.93;42.62;1
0.01;9;8.1;68.76;0
0.01;40;25.73;63.61;0
0.01;35;22.15;94.63;0
0.03;32;14.41;62.45;1
0.0;46;17.7;70.16;0
0.03;34;29.79;76.65;1
0.01;23;-7.45;93.1;0
0.05;52;10.35;74.54;1
0.01;101;5.64;15.74;2
0.04;95;4.14;31.08;2
0.02;99;36.84;12.81;2
0.01;48;26.66;18.38;0
0.01;84;-4.88;11.51;2
0.03;68;39.54;39.0;1
0.01;83;-8.96;30.74;2
0.02;86;2.08;58.13;2
0.04;82;0.89;39.78;2
0.04;43;4.42;60.21;1
0.01;43;7.01;88.94;1
0.01;17;-7.21;12.82;0
0.01;93;-1.18;89.08;2
0.05;18;-0.41;83.07;1
0.01;45;30.62;79.63;0
0.01;41;20.61;65.74;0
0.01;32;21.04;16.55;0
0.03;88;18.17;60.05;2
0.02;84;30.62;21.27;2
0.01;84;16.23;80.53;2
0.03;68;12.86;30.5;1
0.04;87;-7.23;15.97;2
0.0;23;2.3;42.51;0
0.0;25;28.02;88.31;0
0.05;82;5.71;93.83;2
0.01;32;13.23;62.92;0
0.03;97;0.15;23.51;2
0.03;100;11.03;24.42;2
0.05;71;18.71;23.37;1
0.01;29;16.65;49.99;0
0.05;95;27.57;68.56;2
0.04;8;-1.42;64.15;1
0.02;6;22.45;54.48;1
0.0;17;14.57;34.53;0
0.01;98;31.91;92.32;2
0.05;92;38.87;85.16;2
0.01;17;11.08;63.62;0
0.02;36;25.82;73.47;1
0.01;30;6.06;11.75;0
0.04;62;0.9;71.18;1
0.02;9;9.83;15.49;1
0.01;46;-5.88;49.8;0
0.0;45;32.74;47.67;0
0.01;43;38.88;10.91;0
0.0;55;27.41;44.48;1
0.0;10;-7.43;63.32;0
0.03;14;23.23;70.43;1
0.04;94;30.44;88.79;2
0.03;88;1.36;84.21;2
0.02;14;15.99;20.36;1
0.01;60;-3.14;52.13;1
0.01;32;17.07;66.07;0
0.0;100;-2.83;27.77;2
0.02;74;-8.7;14.68;1
0.05;99;27.69;10.62;2
0.01;16;-3.12;65.3;0
0.0;41;6.0;94.56;0
0.02;98;16.06;65.7;2
0.03;38;23.21;98.5;1
0.03;15;22.37;64.59;0
0.01;62;12.55;78.49;1
0.03;21;23.04;83.57;1
0.0;48;20.81;66.17;0
0.01;10;-3.59;18.45;0
0.03;46;6.19;87.54;1
0.05;100;-3.82;54.8;2
0.03;86;33.83;77.45;2
0.01;83;12.11;32.5;2
0.0;34;0.35;48.83;0
0.01;94;-5.42;48.16;2
0.01;33;10.25;73.18;0
0.01;12;-5.7;49.84;0
0.01;90;38.6;53.6;2
0.04;64;-4.46;59.9;1
0.01;41;34.1;13.62;0
0.04;65;31.79;48.35;1
0.01;6;9.6;79.16;0
0.02;73;23.44;18.81;1
0.02;87;-0.88;14.22;2
0.01;34;1.62;94.26;0
0.05;97;1.41;93.75;2
0.04;96;29.56;75.0;2
0.02;28;6.11;75.7;1
0.05;75;16.63;47.01;1
0.02;50;24.2;18.97;1
0.02;101;24.86;62.17;2
0.03;95;9.85;99.58;2
0.02;90;21.74;28.18;2
0.03;45;14.38;80.88;1
0.03;37;11.02;56.35;1
0.01;41;36.6;17.89;0
0.05;86;38.77;72.81;2
0.03;100;22.09;95.38;2
0.04;85;1.2;67.64;2
0.03;84;-1.1;66.86;2
0.04;54;26.45;93.33;1
0.01;8;28.11;49.47;0
0.02;44;29.95;32.01;1
0.04;95;38.18;64.11;2
0.01;19;-7.36;78.99;0
0.01;34;4.44;61.48;0
0.04;88;14.66;61.25;2
0.03;101;12.49;87.55;2
0.03;64;14.23;33.21;1
0.01;84;36.75;11.68;2
0.04;21;10.94;73.46;1
0.02;61;-4.81;96.96;1
0.05;22;0.16;49.22;1
0.03;59;-3.34;25.54;1
0.01;88;26.96;23.35;2
0.05;82;29.43;94.1;2
0.03;64;35.65;42.47;1
0.02;87;4.82;61.83;2
0.05;74;30.37;43.12;1
0.02;88;30.43;64.56;2
0.02;12;5.04;47.3;1
0.05;57;10.31;71.54;1
0.03;12;38.31;91.13;1
0.0;17;-5.4;98.64;0
0.01;46;34.06;30.0;0
0.02;33;16.05;66.33;1
0.02;11;-6.99;61.45;1
